Ticker,Sector,Return_6M,Volatility,Beta,PE,PB,EV_Revenue,GrossMargin,ProfitMargin,ROE,MarketCap,EV_EBITDA,FCF_Yield,Price_Sales,RSI_14,SMA20_above_SMA50,MACD,Momentum_10,BB_Percent,ValueScore,SignalScore,QualityScore,IndexSource
AAON,Industrials,-0.2712487907483312,0.0383123583771184,1.057,50.413612,9.601156,6.236,0.31035998,0.126,0.19846001,7834741248,29.424738149810004,-0.0178902204378198,6.2151385829862615,48.51454317251083,1,2.0325717823725,-7.511285802496367,0.1780411611944547,0.9160206169458038,0.5610004422764601,0.38222021322990785,AltScreen
ACAD,Healthcare,0.2986152259008059,0.0386205002879411,0.475,15.744525,4.7106357,3.117,0.59739,0.22974001,0.37238997,3609998336,30.540743343333496,0.0053388877794762,3.6234667328583,68.70556488012814,1,1.730378293035102,22.55681379151748,0.7070829434138993,0.9284033766472186,0.25008069754887285,0.5314146331624251,AltScreen
ACIW,Technology,-0.19040954120287,0.0257060637220628,1.143,18.284584,3.2848113,3.287,0.51337004,0.16125,0.19691,4852674048,13.61783900820281,0.0632006973817665,2.900869966032638,36.74045154821171,0,-1.5912123636557496,-5.146610852309112,0.2816453298950197,0.9296346713604077,0.631242533195399,0.40181077890869255,AltScreen
ADC,Real Estate,0.0146079909980045,0.0127538507524778,0.576,42.542374,1.5117446,17.749,0.87948996,0.30045998,0.035469998,8310560256,20.44719010607793,0.0473396184951504,13.050462254841216,50.49510208521912,0,-0.1504182452331122,1.8668897686637889,0.5638462038995383,0.9236999844532622,0.4972867199745634,0.5460113163380943,AltScreen
ADMA,Healthcare,0.0076180606633717,0.0367054354577123,0.571,23.61905,12.677316,10.297,0.5258,0.45011002,0.78452003,4736482816,29.57406068041436,0.0111086386341911,10.31057640277811,45.08272305687824,1,-0.3515300757335495,3.3333300219643105,0.3507593674162277,0.915618337854831,0.5230278632822973,0.5625640221368471,AltScreen
AGO,Financial Services,-0.0782662938856679,0.01703244438253,0.808,10.041568,0.74917156,5.036,0.96154,0.50113,0.08184,4142950144,,0.1730650804568311,4.686595185520362,44.486030074573925,1,-0.4636265703202014,-2.2882188321638983,0.2401169253648566,0.9335121006978246,0.5615878731347688,0.5476497560589078,AltScreen
ALVO,Healthcare,-0.0188679476764861,0.0337679801981412,-0.022,30.918917,-10.64186,7.351,0.60741,0.16422,0.111515,3452660736,29.26786547547242,-0.0627805303138825,5.872970844830722,68.73046467112619,1,0.56022003047193,9.369020446102583,0.8502930515956599,0.9429842830745323,0.33416431719789985,0.573451291538735,AltScreen
APPF,Technology,-0.1747625984890763,0.0283091657846411,0.984,39.39739,16.256351,8.945,0.63987,0.23868,0.49116,7608159232,51.692367043485106,0.0222768902216372,9.227894851318922,48.47270877019533,0,-1.6456630507713612,-0.5931339972124319,0.3824449939355815,0.9091516930105267,0.5294431254742145,0.46919886413066436,AltScreen
AROC,Energy,-0.0047209304417713,0.0307502766848227,1.153,20.924368,3.2375503,5.45,0.61916,0.16384001,0.18149,4402543616,10.853913698263517,-0.0038642152091742,3.5611621390369015,51.74004437120925,1,0.2215540152282251,-2.5058781286416245,0.5112937873140513,0.9286500433670897,0.5151727032504503,0.4138726872108452,AltScreen
ATAT,Consumer Cyclical,0.2419674971438947,0.0315310894751413,0.6,24.849207,1.3084542,1.305,0.42786,0.16406,0.44867,4326603776,5.850252263682751,0.2820572178967191,0.5629601649495525,61.83587930749856,1,1.4980915866130644,4.961446684618209,0.6981478922502756,0.9314648200635456,0.4019956919876365,0.4828914294741649,AltScreen
ATGE,Consumer Defensive,0.4418477582102642,0.0292833799988718,0.861,22.340101,3.3646786,3.001,0.56633997,0.13340999,0.16619,4743574016,13.159143565254189,0.0566508204770468,2.7244837682643186,62.94724870519283,1,5.777956536739495,1.2500038029959182,0.6595452218602588,0.9289544485589643,0.4054062376396649,0.4440703319010815,AltScreen
AUB,Financial Services,-0.2882866090608045,0.0246436500502268,0.81,14.028037,0.8420521,5.644,0.0,0.26217,0.07296,4276889344,,,5.360323398219231,56.89775379466824,1,0.4690098687651769,-2.435080392007117,0.6031712994004578,0.932576594959379,0.48147861587799046,0.375212878102246,AltScreen
AWI,Industrials,-0.0180505999071711,0.0180782532996345,1.354,24.940706,8.51787,4.853,0.40443,0.18247999,0.38599998,6758513152,18.09611376365442,0.0316878122722339,4.4993764036882,58.77557662589314,1,3.428358284911724,-2.07637824516909,0.5376426860132886,0.9218780717352197,0.458900169119158,0.3711772205449192,AltScreen
AYI,Industrials,-0.1920496727526781,0.0226555100608157,1.602,19.703566,3.1656072,2.224,0.46944,0.105349995,0.17859,8031875072,13.324363002421308,0.0397945671633075,2.029122417905604,50.33094128545158,1,2.727026047060292,-4.395961540037539,0.4094716248284389,0.9298421912560221,0.5284335764417656,0.3265291908936353,AltScreen
BKH,Utilities,-0.0474513122281727,0.0132918062503948,0.716,14.992308,1.1663209,3.898,0.38794,0.12667,0.080819994,4239624704,10.967126182096404,-0.0409175387237294,1.9214251164936271,49.22881342665756,0,-0.2789122454490851,0.8207775696798592,0.4805096731840703,0.9325231258339995,0.5120625435222776,0.43041080991677794,AltScreen
BMI,Technology,0.1288254046722121,0.0214961841840917,0.827,54.553844,11.393032,8.431,0.40756,0.15743,0.22799999,7310898176,35.36467962605391,0.0180237432977209,8.57594405344508,67.7320574662875,1,9.64594876685075,1.7965612680301453,0.7595796675977798,0.9125932413033939,0.36071303857295833,0.4321437077212276,AltScreen
