Momentum_10,EV_EBITDA,ExtractionDate,PE,Return_6M,EV_Revenue,SignalScore,GrossMargin,PB,QualityScore,FCF_Yield,IndexSource,Ticker,MACD,Price_Sales,SMA20_above_SMA50,Company,ValueScore,ProfitMargin,RSI_14,Sector,Beta,MarketCap,Volatility,BB_Percent,ROE,CapType
6.884060068006309,5.887627610340936,2025-05-16,3.3908045,-0.2474489820743292,0.94,0.6608221742109482,0.31125998,1.4376218,0.3741300585158397,0.007285043264128,AltScreen,TTI,0.0396308004239638,0.6573615667761109,0.0,"Tetra Technologies, Inc.",0.7607219926822404,0.18408,54.54911515327784,Energy,1.32,397887136.0,0.0382064515115131,0.7236467870128077,0.55877995,SmallCap
8.465610654833167,3.737753848225709,2025-05-16,5.924855,-0.1134569170692082,2.017,0.6525285244684993,0.65105003,0.80963665,0.5016486254125405,-0.2488744973054137,AltScreen,SD,0.0815945190210829,2.7433091399199694,0.0,"SandRidge Energy, Inc.",0.760606983159279,0.47169,54.768238787374315,Energy,0.811,377509536.0,0.0252772380719842,0.7856123384370203,0.14675,SmallCap
7.352939656774682,2.99342201264789,2025-05-16,5.9273505,-0.1843656505233631,2.062,0.6506416880635957,0.75321996,1.1403437,0.4121160251891567,0.2142398760098114,AltScreen,REPX,0.4545292751719039,1.4796000724796166,0.0,"Riley Exploration Permian, Inc.",0.7599146136836781,0.23922001,55.49139193860923,Energy,1.339,610918016.0,0.0335502384854687,0.7832623625050221,0.20429,SmallCap
7.15502699288286,0.7032770513547311,2025-05-16,19.060606,0.0052475852801194,0.278,0.6480239492648551,0.33009997,0.06552424,0.4246081176402927,4.777653365770337,AltScreen,TKC,0.0152013321150299,0.0318550012916406,0.0,Turkcell Iletisim Hizmetleri AS,0.7587115726454465,0.13348,56.319747533544856,Communication Services,0.689,5481200128.0,0.0247607767079706,0.7801317665739651,0.06389,SmallCap
9.197208057547714,3.594878631640841,2025-05-16,5.9785237,-0.2326047108744962,2.672,0.6438141389857248,0.79794997,1.0546505,0.399428877610076,0.0178469477008282,AltScreen,MTDR,0.3767084287201285,1.622036359721008,0.0,Matador Resources Company,0.759756493357834,0.271,55.40867664796622,Energy,1.472,5576541696.0,0.0344098836305096,0.8181838442706056,0.19851999,SmallCap
6.395993591817622,5.606023686562666,2025-05-16,9.023585,-0.2078675170624777,1.401,0.6374032854114949,0.29580998,1.2325633,0.3722335032973953,-0.0294260964381248,AltScreen,VAL,1.2454869437968483,1.106089578238864,0.0,Valaris Limited,0.7590564933828412,0.1261,57.528400709266315,Energy,1.093,2719099904.0,0.0386798087402654,0.7386663326923271,0.14385,SmallCap
6.454460788261121,4.509324864152471,2025-05-16,8.107744,-0.2554364672711471,1.752,0.633992647812606,0.43945998,0.8208065,0.3950326117153518,0.081059509985821,AltScreen,NE,0.7006279515805431,1.2181507435881125,1.0,Noble Corporation plc A,0.7600071578120182,0.14693,58.38855196336107,Energy,1.069,3823494912.0,0.0350897506488161,0.7549078537397991,0.107609995,SmallCap
11.336513082237794,7.035793494837371,2025-05-16,17.119265,-0.3513227971399418,0.876,0.6302952498252867,0.57556,1.1902028,0.3950396944874676,0.3485328141604492,AltScreen,SSTK,0.4367174685418469,0.682707133375231,0.0,"Shutterstock, Inc.",0.7567651671257933,0.03995,56.04869409306537,Communication Services,1.106,657834048.0,0.0370786335945928,0.7303334171326653,0.07074,SmallCap
8.39355335237996,6.625953845695739,2025-05-16,12.662338,-0.0504893219223074,1.128,0.6223133200591859,0.29723,1.67843,0.4473755589584773,0.1106712283674984,AltScreen,EBF,0.1126339401035316,1.287415750418511,0.0,"Ennis, Inc.",0.7571061499119629,0.10193,59.335281560657926,Industrials,0.472,508037408.0,0.0151970298006078,0.8771891394003524,0.123409994,SmallCap
8.061947000293552,6.578853522152539,2025-05-16,7.592,-0.2635492324856655,0.926,0.6213334011441416,0.17863001,1.0199475,0.2672582984428677,-0.0399734240898771,AltScreen,GBX,0.2658081951790336,0.4241931738437001,0.0,"Greenbrier Companies, Inc. (The",0.7601993283829507,0.057729997,59.58395681539804,Industrials,1.77,1489427072.0,0.0248200283254436,0.921175146982726,0.13316,SmallCap
10.401462950318528,5.246868430225803,2025-05-16,12.346939,-0.1718000913203559,0.993,0.6210379465778079,0.31644,1.0674901,0.3033699877300733,0.1695895678937841,AltScreen,SNCY,0.3502225529731024,0.5900899891407588,0.0,"Sun Country Airlines Holdings, ",0.7585136060959521,0.04961,58.09197653056749,Industrials,1.577,643732096.0,0.0428089363359593,0.7563771174689559,0.09462,SmallCap
11.151516076290246,5.482200074487896,2025-05-16,5.1516857,-0.3125937052920488,0.637,0.620328158296063,0.51258,1.3220876,0.3707239163659709,0.172544823096551,AltScreen,SBH,0.1979725318447425,0.2501610898109007,0.0,"Sally Beauty Holdings, Inc. (Na",0.7605358443166215,0.05029,57.83257386852755,Consumer Cyclical,1.327,925198016.0,0.0350437014761788,0.8264702758278549,0.29745,SmallCap
6.389920232084467,982.5514792192024,2025-05-16,15.717391,0.2679266123484021,5.884,0.6201172880584952,0.74833,2.9739244,0.259502535426146,0.0545317556822158,AltScreen,U,0.3469529290591353,5.303504288049354,1.0,Unity Software Inc.,0.7510362604643082,-0.25208,60.76511665145411,Technology,2.294,9482002432.0,0.0529201643417584,0.9304350385957894,-0.13176,SmallCap
