Ticker,Sector,Return_6M,Volatility,Beta,PE,PB,EV_Revenue,GrossMargin,ProfitMargin,ROE,MarketCap,EV_EBITDA,FCF_Yield,Price_Sales,RSI_14,SMA20_above_SMA50,MACD,Momentum_10,BB_Percent,ValueScore,SignalScore,QualityScore,IndexSource
AAON,Industrials,-0.2888829338140198,0.0382083342272595,1.031,49.193718,9.36883,6.245,0.31035998,0.126,0.19846001,7645158400,29.46737878131224,-0.0183338579355007,6.064746421205807,44.13632856612912,1,1.464615880177547,-12.080100430728464,0.069656482882293,0.91740420025648,0.5839109049346585,0.3855969463403318,AltScreen
ACAD,Healthcare,0.2906561508718455,0.0384703813140894,0.649,15.648028,4.6817646,2.996,0.59739,0.22974001,0.37238997,3587873024,29.35547328972606,0.0053718110621743,3.601258874426171,67.36834700173101,1,1.6458939659299787,-3.693624288825019,0.6757178312338139,0.9292177542724206,0.40467059800822724,0.505183102333982,AltScreen
ACIW,Technology,-0.1947847600105428,0.0256030390863771,1.079,18.18577,3.2670593,3.294,0.51337004,0.16125,0.19691,4826448896,13.649018418771371,0.0635441067767601,2.8851928867483214,35.872842424391195,0,-1.578293562430467,-5.8522624777173515,0.2791145011026464,0.9303955302359089,0.5984145851705112,0.4108117904068222,AltScreen
ADC,Real Estate,0.0198686816411257,0.0127328871896114,0.565,42.615818,1.5143545,17.904,0.87948996,0.30045998,0.035469998,8324907520,20.625971487555898,0.0472580327234674,13.072992435902965,52.330639301404645,0,-0.0718838361266449,1.0283539194522855,0.6599688465630486,0.9243686523954489,0.46157856983726486,0.5477654414781992,AltScreen
ADMA,Healthcare,0.0309801262802313,0.03661073591528,0.473,24.166666,12.971245,10.333,0.5258,0.45011002,0.78452003,4846300160,29.67854269690864,0.0108569164647036,10.549631448399154,48.65584237083154,0,-0.3123297230547699,3.098012628023145,0.4525972211529287,0.9159759867365637,0.4692214996894911,0.5786419673597725,AltScreen
AGO,Financial Services,-0.0756499235432992,0.0169652041915,0.82,10.070071,0.75129807,5.027,0.96154,0.50113,0.08184,4154710016,,0.1725752211920438,4.699898208144797,45.73886060852015,1,-0.463431073969943,-1.6927525617074275,0.2890501321053417,0.9341597951492673,0.5155576657131307,0.5455909223895133,AltScreen
ALVO,Healthcare,-0.030017103977329,0.0336460173351875,0.191,30.567568,-10.52093,7.494,0.60741,0.16422,0.11125,3413426176,29.83929194149332,-0.0635021414917514,5.80623291585114,66.50966307465801,1,0.57852599520211,8.126198645983058,0.7941860702634504,0.9434734058643152,0.3382073142468881,0.546047766643944,AltScreen
APPF,Technology,-0.1833795895255142,0.0282053288055918,0.866,38.986008,16.086605,9.022,0.63987,0.23868,0.49116,7528716288,52.134294530252426,0.0225119557593295,9.131538937679808,46.59953819904087,0,-1.6932011491216483,-4.542966131218474,0.2486871447431749,0.9103136749119908,0.5323141778419782,0.4875561141198614,AltScreen
AROC,Energy,0.0212602352391539,0.0307113238766688,1.078,21.470587,3.3220646,5.426,0.61916,0.16384001,0.18149,4517469696,10.80549552012675,-0.0037659081620544,3.654124399171368,57.75136977141671,1,0.2513132944011005,0.3929213010740358,0.7582620422924625,0.9291942716610326,0.4352200941227512,0.4247755504145028,AltScreen
ATAT,Consumer Cyclical,0.2276875004728651,0.0314261198506367,0.6,24.563494,1.2934097,1.274,0.42786,0.16406,0.44867,4276856832,5.710587309040036,0.2853380115203258,0.556487294021245,59.49311306479913,1,1.4060298485277087,4.454949846642857,0.6418353886703716,0.9322852655052212,0.39694987128280035,0.4828914294741649,AltScreen
ATGE,Consumer Defensive,0.4530959703182642,0.0291657974981296,0.933,22.514383,3.3909273,3.047,0.56633997,0.13340999,0.16619,4780579840,13.361844405488728,0.056212294113678,2.7457381571447654,64.03488918182053,1,5.644202239106377,-1.2468516150205635,0.673577667887683,0.9296296122108846,0.39590419043605685,0.4338845836064406,AltScreen
AUB,Financial Services,-0.2930282219525941,0.0245453431699921,0.841,13.934579,0.8364422,5.619,0.0,0.26217,0.07296,4248395776,,,5.324611756658193,55.018259866691295,1,0.4442183398769828,-2.5529274259255383,0.532358640615013,0.933272690732751,0.467988615142794,0.371566608753917,AltScreen
AWI,Industrials,-0.0302280083378446,0.0180387666664374,1.372,24.63141,8.412238,4.842,0.40443,0.18247999,0.38599998,6674699264,18.05837982125124,0.0320857146561022,4.443578594097939,53.84941883352391,1,3.024817449760775,-4.033470633214961,0.3799180027443931,0.9228548514608972,0.4762038291958327,0.3686522054391715,AltScreen
AYI,Industrials,-0.2035990089888889,0.0225919796929627,1.606,19.407196,3.120356,2.21,0.46944,0.105349995,0.17859,7917062144,13.2386804842615,0.0403716664321284,2.00011680166011,46.1299345918543,1,2.025341752264296,-6.211110033549893,0.2785827638884001,0.9306848816994167,0.5346397885947731,0.3259845216844717,AltScreen
BKH,Utilities,-0.0505466871632922,0.0132398722806707,0.698,14.943589,1.1625309,3.91,0.38794,0.12667,0.080819994,4225847808,11.00041205814843,-0.0410509360208364,1.9151813388364336,48.07590630080464,0,-0.2598052220514759,-0.3590406789939191,0.4622447791231493,0.9332178552978665,0.49391754318025904,0.4327699434668699,AltScreen
BMI,Technology,0.1463794564391398,0.0214468584526555,0.853,55.52423,11.570202,8.422,0.40756,0.15743,0.22799999,7424587776,35.327000966309235,0.0177477532727064,8.70930600509409,70.45357219821369,1,9.60618368137554,3.0461790899711345,0.837819478790653,0.9131728302026851,0.32272968305251615,0.4286026625271678,AltScreen
